"day","NEE","Date"
1397,-0.0650490696,2013-10-28
1398,0.0805871808,2013-10-29
1404,-0.1219264056,2013-11-04
1409,-0.03704246208,2013-11-09
1416,0.0978157944,2013-11-16
1419,-0.147269772,2013-11-19
1453,0.2170886616,2013-12-23
1455,0.12707974008,2013-12-25
1458,0.014201676,2013-12-28
1459,0.103849128,2013-12-29
1462,0.05366484144,2014-01-01
1463,0.03047162544,2014-01-02
1469,0.2029724568,2014-01-08
1474,0.0792533592,2014-01-13
1514,-0.131260238208,2014-02-22
1515,-0.15334056216,2014-02-23
1530,-0.18882389088,2014-03-10
1537,-0.1253101536,2014-03-17
1540,-0.1609328088,2014-03-20
1542,-0.2174952168,2014-03-22
1555,-0.221111856,2014-04-04
1573,-0.439209432,2014-04-22
1574,0.00169107264,2014-04-23
1576,-0.39992839128,2014-04-25
1584,-0.3551167224,2014-05-03
1587,-0.56233752984,2014-05-06
1607,0.3218262948,2014-05-26
1609,0.0477061812,2014-05-28
1612,-0.07013999736,2014-05-31
1622,-0.09755452512,2014-06-10
1636,-0.20510067672,2014-06-24
1640,0.05335667424,2014-06-28
1648,0.936490248,2014-07-06
1651,0.2510033832,2014-07-09
1666,-0.193480148664,2014-07-24
1667,-0.0713180322648,2014-07-25
1668,0.18700501752,2014-07-26
1676,0.2851175808,2014-08-03
1682,-0.951875928,2014-08-09
1684,-0.4987221408,2014-08-11
1685,-1.251079344,2014-08-12
1697,-2.714415408,2014-08-24
1707,-1.2510354744,2014-09-03
1712,-1.557078984,2014-09-08
1718,-0.632906136,2014-09-14
1731,-0.9898897032,2014-09-27
1732,-1.207265256,2014-09-28
1760,-0.3873176352,2014-10-26
1766,-0.03957009624,2014-11-01
1774,-0.2853114624,2014-11-09
1782,0.2155537656,2014-11-17
1784,0.0832130712,2014-11-19
1844,0.1311438384,2015-01-18
1846,-0.00474419808,2015-01-20
1854,-0.00256412736,2015-01-28
1860,0.03082780512,2015-02-03
1870,-0.069318319104,2015-02-13
1874,0.00632741112,2015-02-17
1891,0.0319954644,2015-03-06
1917,-0.17746461504,2015-04-01
1920,-0.441697104,2015-04-04
1922,-0.40970713464,2015-04-06
1928,-0.38353168872,2015-04-12
1931,-0.3258449208,2015-04-15
1932,-0.5057944452,2015-04-16
1938,-0.7226205372,2015-04-22
1953,-0.6560268408,2015-05-07
1954,-0.6812154216,2015-05-08
1976,-0.3181221216,2015-05-30
1995,0.07102683288,2015-06-18
1997,-0.03780539136,2015-06-20
1999,0.1554811848,2015-06-22
2008,0.019107684,2015-07-01
2015,0.16860662568,2015-07-08
2023,-0.461193156,2015-07-16
2029,-0.0495506916,2015-07-22
2055,-0.0662967504,2015-08-17
2085,-0.0948117744,2015-09-16
2088,0.0930979995552,2015-09-19
2099,0.0407802168,2015-09-30
2123,-0.0069549864408,2015-10-24
2125,0.0374661288,2015-10-26
2126,0.0432147528,2015-10-27
2132,0.091439936856,2015-11-02
2151,-0.19759758192,2015-11-21
2155,0.31399414344,2015-11-25
2163,0.07508553336,2015-12-03
2166,0.0916460352,2015-12-06
2217,0.2103163553232,2016-01-26
2224,0.47639406528,2016-02-02
2267,-0.05088677904,2016-03-16
2284,-0.37517377392,2016-04-02
2287,-0.3986784576,2016-04-05
2296,-0.518085504,2016-04-14
2305,-0.7436649312,2016-04-23
2317,-1.1179674432,2016-05-05
2318,-1.1770952616,2016-05-06
2321,-1.276246368,2016-05-09
2332,-1.3252533768,2016-05-20
2333,-1.4318104536,2016-05-21
2362,0.2723349384,2016-06-19
2363,-0.141308928,2016-06-20
2364,-0.44686659312,2016-06-21
2368,-0.1447439652,2016-06-25
2389,0.0978324048,2016-07-16
2390,0.01431756,2016-07-17
2413,-0.573723,2016-08-09
2419,-0.990850968,2016-08-15
2420,-0.90682958592,2016-08-16
2434,-1.046327652,2016-08-30
2435,-1.3471184736,2016-08-31
2436,-1.6456829616,2016-09-01
2439,-1.4100328368,2016-09-04
2445,-0.9223770888,2016-09-10
2494,-0.165722453496,2016-10-29
2495,-0.2389458204,2016-10-30
2526,0.09910765368,2016-11-30
2534,-0.2754579744,2016-12-08
2552,0.0519008472,2016-12-26
2562,0.39893697936,2017-01-05
2579,0.15348398184,2017-01-22
2582,0.5245459128,2017-01-25
2584,0.3861199152,2017-01-27
2611,1.6949080656,2017-02-23
2640,0.083766879648,2017-03-24
2641,-0.406297500984,2017-03-25
2642,-0.507864708,2017-03-26
2643,-0.6366180744,2017-03-27
2646,-0.2985529104,2017-03-30
2647,0.1999863648,2017-03-31
2651,0.00499188960000002,2017-04-04
2654,-0.7783464744,2017-04-07
2655,-0.491389524,2017-04-08
2656,-0.5589453816,2017-04-09
2657,-0.808817724,2017-04-10
2659,-0.4025081592,2017-04-12
2660,-0.94038728112,2017-04-13
2661,-1.0472598216,2017-04-14
2662,-0.916503444,2017-04-15
2663,-0.99973747584,2017-04-16
2664,-0.9467430984,2017-04-17
2665,-0.94624704576,2017-04-18
2666,-1.121418054,2017-04-19
2667,-0.857715156,2017-04-20
2670,-0.62791956,2017-04-23
2671,-0.12074989464,2017-04-24
2683,-0.3137506596,2017-05-06
2684,-0.7469248032,2017-05-07
2689,-0.534539412,2017-05-12
2690,-0.38180418552,2017-05-13
2692,-0.4168552464,2017-05-15
2694,-0.38162403936,2017-05-17
2712,-0.0556874568,2017-06-04
2720,-0.1057112964,2017-06-12
2754,-0.26566951104,2017-07-16
2759,-0.38489832936,2017-07-21
2772,-1.9302736968,2017-08-03
2777,-2.4412501656,2017-08-08
2778,-2.421329976,2017-08-09
2786,-2.963478744,2017-08-17
2788,-2.4258500784,2017-08-19
2789,-1.756357128,2017-08-20
2795,-2.2719051504,2017-08-26
2804,-0.623748816,2017-09-04
2806,-0.473482152,2017-09-06
2807,-0.288238068,2017-09-07
2824,-0.1165159512,2017-09-24
2831,0.118700856,2017-10-01
2832,0.0580732848,2017-10-02
2838,-0.56720034,2017-10-08
2850,-0.3853311696,2017-10-20
2864,-0.46844005968,2017-11-03
2866,-0.27270530064,2017-11-05
2880,-0.0371767536,2017-11-19
2946,0.19520946216,2018-01-24
2987,0.182952954936,2018-03-06
3018,-0.1623216456,2018-04-06
3019,-0.2585301192,2018-04-07
3025,0.19389626856,2018-04-13
3038,-0.3096078336,2018-04-26
3039,-0.57990536712,2018-04-27
3041,-0.4467141144,2018-04-29
3044,-0.2780393904,2018-05-02
3049,-0.22545555768,2018-05-07
3061,-0.22109271624,2018-05-19
3068,0.0835413912,2018-05-26
3069,0.11783353392,2018-05-27
3075,-0.12492142272,2018-06-02
3079,-0.0683139096,2018-06-06
3099,-0.1466801136,2018-06-26
3100,-0.0320332536,2018-06-27
3101,-0.0845498952,2018-06-28
3105,-0.09641538648,2018-07-02
3106,-0.02812959792,2018-07-03
3109,0.876316536,2018-07-06
3111,-0.3000355344,2018-07-08
3114,-0.4290508656,2018-07-11
3115,-0.52553569824,2018-07-12
3135,-1.0111439088,2018-08-01
3147,-0.680368896,2018-08-13
3148,-1.043308296,2018-08-14
3159,-0.0408079944,2018-08-25
3176,-0.443740464,2018-09-11
3177,-0.297851472,2018-09-12
3188,-0.710254764,2018-09-23
3212,0.2139683472,2018-10-17
3252,0.1626025968,2018-11-26
3259,0.089100972,2018-12-03
3271,0.18636463584,2018-12-15
3312,0.0967325976,2019-01-25
3316,0.159039612,2019-01-29
3325,0.1688504832,2019-02-07
3334,0.3572232624,2019-02-16
3338,-0.1311976656,2019-02-20
3347,-0.10068684048,2019-03-01
3351,-0.153750312,2019-03-05
3355,-0.3651746976,2019-03-09
3360,0.0212266008,2019-03-14
3397,-0.46838247624,2019-04-20
3402,-0.759547152,2019-04-25
3415,-0.86095661832,2019-05-08
3416,-1.106574048,2019-05-09
3422,-1.3315607928,2019-05-15
3423,-1.15422948,2019-05-16
3433,-0.6417917712,2019-05-26
3435,-0.82576014624,2019-05-28
3437,-0.451012536,2019-05-30
3440,-0.244894968,2019-06-02
3441,-0.3751004592,2019-06-03
3448,-0.3515206896,2019-06-10
3463,-0.08809474896,2019-06-25
3469,0.044592631704,2019-07-01
3488,0.16920893952,2019-07-20
3499,-0.0786151656,2019-07-31
3516,-0.1757094336,2019-08-17
3520,0.07638433704,2019-08-21
3539,0.5022741528,2019-09-09
3552,-0.41158533456,2019-09-22
3558,-0.2418281568,2019-09-28
3559,0.00119713896,2019-09-29
3560,0.18414676296,2019-09-30
3561,0.18380131632,2019-10-01
3562,-0.2521263672,2019-10-02
3567,-0.18182759256,2019-10-07
3569,0.16984787184,2019-10-09
3589,0.29077276752,2019-10-29
3614,-0.01206895464,2019-11-23
3616,0.3428849448,2019-11-25
3638,0.2409788232,2019-12-17
3639,0.1993194648,2019-12-18
3656,0.05172614208,2020-01-04
3672,0.10469849184,2020-01-20
3689,0.2016861984,2020-02-06
3704,-0.0675419904,2020-02-21
3709,0.2109724272,2020-02-26
3710,-0.046144310472,2020-02-27
3763,-0.2250265104,2020-04-20
3779,-0.550355472,2020-05-06
3802,-0.3750783624,2020-05-29
3829,-0.0388275984,2020-06-25
3832,0.1171917936,2020-06-28
3837,-0.0735887376,2020-07-03
3839,0.1805745312,2020-07-05
3841,0.06157728,2020-07-07
3872,-1.496106072,2020-08-07
3875,-2.0181794976,2020-08-10
3888,-0.45588102264,2020-08-23
3895,-0.1046386296,2020-08-30
3987,0.00914995872,2020-11-30
3989,0.2048375844,2020-12-02
3992,-0.013241016,2020-12-05
4000,0.361211184,2020-12-13
